Source sentence,Answer sentence
"Mickelson , Greg Norman ( Australia )",Greg Norman is a person entity
"Mickelson , Greg Norman ( Australia )",Australia is a location entity
"Mickelson , Greg Norman ( Australia )",( Australia is not a named entity
"Mickelson , Greg Norman ( Australia )",) is not a named entity
"Mickelson , Greg Norman ( Australia )",Norman is not a named entity
"Mickelson , Greg Norman ( Australia )",( Australia is not a named entity
"71 Ernie Els ( South Africa ) , Scott Hoch",Ernie Els is a person entity
"71 Ernie Els ( South Africa ) , Scott Hoch",South Africa is a location entity
"71 Ernie Els ( South Africa ) , Scott Hoch",Scott Hoch is a person entity
"71 Ernie Els ( South Africa ) , Scott Hoch",") , is not a named entity"
"71 Ernie Els ( South Africa ) , Scott Hoch",", Scott is not a named entity"
"71 Ernie Els ( South Africa ) , Scott Hoch",( South is not a named entity
"71 Ernie Els ( South Africa ) , Scott Hoch",Els ( is not a named entity
"71 Ernie Els ( South Africa ) , Scott Hoch",") , is not a named entity"
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver",Clarence Rose is a person entity
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver",Loren Roberts is a person entity
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver",Fred Funk is a person entity
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver",Sven Struver is a person entity
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver","Rose , is not a named entity"
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver","Funk , is not a named entity"
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver","Roberts , is not a named entity"
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver",Struver is not a named entity
"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver",", Fred is not a named entity"
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",Germany is a location entity
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",Alexander Cejka is a person entity
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",Hal Sutton is a person entity
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",Tom Lehman is a person entity
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",( is not a named entity
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",) is not a named entity
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman","Sutton , is not a named entity"
"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",", Hal is not a named entity"
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,",D.A. Weibring is a person entity
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,",Brad Bryant is a person entity
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,",Craig Parry is a person entity
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,",Australia is a location entity
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,","Weibring , is not a named entity"
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,","Weibring , is not a named entity"
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,",", Brad is not a named entity"
"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,","Weibring , is not a named entity"
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",Stewart Ginn is a person entity
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",Australia is a location entity
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",Corey Pavin is a person entity
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",Craig Stadler is a person entity
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",Mark is a person entity
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",", is not a named entity"
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark","Stadler , is not a named entity"
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",") , is not a named entity"
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",Pavin is not a named entity
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark","Stadler , is not a named entity"
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",", Corey is not a named entity"
"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",", Craig is not a named entity"
"O'Meara , Fred Couples",O'Meara is a person entity
"O'Meara , Fred Couples",Fred Couples is a person entity
"O'Meara , Fred Couples",Couples is not a named entity
"O'Meara , Fred Couples",", is not a named entity"
"74 Paul Stankowski , Costantino Rocca ( Italy )",Paul Stankowski is a person entity
"74 Paul Stankowski , Costantino Rocca ( Italy )",Costantino Rocca is a person entity
"74 Paul Stankowski , Costantino Rocca ( Italy )",Italy is a location entity
"74 Paul Stankowski , Costantino Rocca ( Italy )",Rocca ( is not a named entity
"74 Paul Stankowski , Costantino Rocca ( Italy )",74 Paul is not a named entity
"74 Paul Stankowski , Costantino Rocca ( Italy )",Stankowski is not a named entity
"74 Paul Stankowski , Costantino Rocca ( Italy )",", Costantino is not a named entity"
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Jim Furyk is a person entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Satoshi Higashi is a person entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Japan is a location entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Willie Wood is a person entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Shigeki is a person entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",75 Jim is not a named entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",", Satoshi is not a named entity"
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Higashi is not a named entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Higashi is not a named entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",75 Jim is not a named entity
"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",") , is not a named entity"
Maruyama ( Japan ),Maruyama is a person entity
Maruyama ( Japan ),Japan is a location entity
Maruyama ( Japan ),( is not a named entity
76 Scott McCarron,Scott McCarron is a person entity
"77 Wayne Westner ( South Africa ) , Steve Schneiter",Wayne Westner is a person entity
"77 Wayne Westner ( South Africa ) , Steve Schneiter",South Africa is a location entity
"77 Wayne Westner ( South Africa ) , Steve Schneiter",Steve Schneiter is a person entity
"77 Wayne Westner ( South Africa ) , Steve Schneiter",") , is not a named entity"
"77 Wayne Westner ( South Africa ) , Steve Schneiter",") , is not a named entity"
"77 Wayne Westner ( South Africa ) , Steve Schneiter",Westner ( is not a named entity
"77 Wayne Westner ( South Africa ) , Steve Schneiter",Westner ( is not a named entity
79 Tom Watson,Tom Watson is a person entity
79 Tom Watson,79 Tom is not a named entity
81 Seiki Okuda ( Japan ),Seiki Okuda is a person entity
81 Seiki Okuda ( Japan ),Japan is a location entity
81 Seiki Okuda ( Japan ),Okuda ( is not a named entity
SOCCER - GLORIA BISTRITA BEAT 2-1 F.C. VALLETTA .,GLORIA BISTRITA is an organization entity
SOCCER - GLORIA BISTRITA BEAT 2-1 F.C. VALLETTA .,F.C. VALLETTA is an organization entity
SOCCER - GLORIA BISTRITA BEAT 2-1 F.C. VALLETTA .,2-1 F.C. is not a named entity
BISTRITA 1996-08-22,BISTRITA is a location entity
BISTRITA 1996-08-22,1996-08-22 is not a named entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",Gloria Bistrita is an organization entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",Romania is a location entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",F.C. Valletta is an organization entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",Malta is a location entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",Cup winners Cup is an other entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",preliminary round is not a named entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",second is not a named entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",Thursday . is not a named entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",) is not a named entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .","Cup match , is not a named entity"
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",", is not a named entity"
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",( Romania is not a named entity
"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",) is not a named entity
"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",Gloria Bistrita is an organization entity
"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",Ilie Lazar is a person entity
"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",Eugen Voica is a person entity
"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",- Ilie is not a named entity
"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",( 84th is not a named entity
"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",Lazar ( is not a named entity
"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",Lazar ( is not a named entity
F.C. La Valletta - Gilbert Agius ( 24th ),F.C. La Valletta is an organization entity
F.C. La Valletta - Gilbert Agius ( 24th ),Gilbert Agius is a person entity
F.C. La Valletta - Gilbert Agius ( 24th ),( 24th ) is not a named entity
F.C. La Valletta - Gilbert Agius ( 24th ),La Valletta is not a named entity
F.C. La Valletta - Gilbert Agius ( 24th ),La Valletta - is not a named entity
Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .,Gloria Bistrita is an organization entity
Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .,Cup winners Cup is an other entity
Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .,won 4-2 is not a named entity
Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .,on aggregate and is not a named entity
Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .,round of is not a named entity
REUTER,REUTER is a person entity
HORSE RACING - PIVOTAL ENDS 25-YEAR WAIT FOR TRAINER PRESCOTT .,PIVOTAL is a person entity
HORSE RACING - PIVOTAL ENDS 25-YEAR WAIT FOR TRAINER PRESCOTT .,PRESCOTT is a person entity
HORSE RACING - PIVOTAL ENDS 25-YEAR WAIT FOR TRAINER PRESCOTT .,ENDS is not a named entity
HORSE RACING - PIVOTAL ENDS 25-YEAR WAIT FOR TRAINER PRESCOTT .,HORSE is not a named entity
HORSE RACING - PIVOTAL ENDS 25-YEAR WAIT FOR TRAINER PRESCOTT .,RACING is not a named entity
"YORK , England 1996-08-22",YORK is a location entity
"YORK , England 1996-08-22",England is a location entity
"YORK , England 1996-08-22",", is not a named entity"
"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",Mark Prescott is a person entity
"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",Pivotal is a person entity
"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",Nunthorpe Stakes is an other entity
"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",Thursday . is not a named entity
"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",sprinter Pivotal is not a named entity
"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",his top is not a named entity
"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",his is not a named entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",George Duffield is a person entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",Eveningperformance is a person entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",Henry Candy is a person entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",Chris Rutter is a person entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",in the is not a named entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",. is not a named entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",Candy and is not a named entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",deny Eveningperformance is not a named entity
"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",by Henry is not a named entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",Hever Golf Rose is a person entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",Prix de l ' Abbaye is an other entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",Longchamp is a location entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",Mind Games is a person entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .","third , a is not a named entity"
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",Games in fourth . is not a named entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",7-4 is not a named entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",last year is not a named entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",. is not a named entity
"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",' is not a named entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",Pivotal is a person entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",Royal Ascot is a person entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",Abbaye is an other entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",Europe is a location entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",be is not a named entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",sprint is not a named entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",at is not a named entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",. is not a named entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",sprint race is not a named entity
"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",sprint is not a named entity
"Prescott , reluctant to go into the winner 's enclosure until the result of the photo-finish was announced , said : "" Twenty-five years and I have never been there so I thought I had better wait a bit longer . """,Prescott is a person entity
"Prescott , reluctant to go into the winner 's enclosure until the result of the photo-finish was announced , said : "" Twenty-five years and I have never been there so I thought I had better wait a bit longer . """,until is not a named entity
"He added : "" It 's very sad to beat Henry Candy because I am godfather to his daughter . """,Henry Candy is a person entity
"He added : "" It 's very sad to beat Henry Candy because I am godfather to his daughter . """,to beat is not a named entity
"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",Prescott is a person entity
"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",Jack Berry is a person entity
"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",Mind Games is a person entity
"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",Thursday is not a named entity
"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",", had is not a named entity"
"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",the top is not a named entity
"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",in search is not a named entity
"Berry said : "" I`m disappointed but I do n't feel suicidal .",Berry is a person entity
"Berry said : "" I`m disappointed but I do n't feel suicidal .",said is not a named entity
"He ( Mind Games ) was going as well as any of them one and a half furlongs ( 300 metres ) out but he just did n't quicken . """,Mind Games is a person entity
"He ( Mind Games ) was going as well as any of them one and a half furlongs ( 300 metres ) out but he just did n't quicken . """,half furlongs is not a named entity
"YORK , England 1996-08-22",YORK is a location entity
"YORK , England 1996-08-22",England is a location entity
"YORK , England 1996-08-22",1996-08-22 is not a named entity
"YORK , England 1996-08-22",", is not a named entity"
"Result of the Nunthorpe Stakes , a group one race for two-year-olds and upwards , run over five furlongs ( 1 km ) on Thursday :",Nunthorpe Stakes is an other entity
"Result of the Nunthorpe Stakes , a group one race for two-year-olds and upwards , run over five furlongs ( 1 km ) on Thursday :",km ) is not a named entity
1. Pivotal 100-30 ( ridden by George Duffield ),Pivotal is a person entity
1. Pivotal 100-30 ( ridden by George Duffield ),George Duffield is a person entity
1. Pivotal 100-30 ( ridden by George Duffield ),100-30 is not a named entity
1. Pivotal 100-30 ( ridden by George Duffield ),1. Pivotal is not a named entity
1. Pivotal 100-30 ( ridden by George Duffield ),Duffield is not a named entity
2. Eveningperformance 16-1 ( Chris Rutter ),Eveningperformance is a person entity
2. Eveningperformance 16-1 ( Chris Rutter ),Chris Rutter is a person entity
2. Eveningperformance 16-1 ( Chris Rutter ),2. Eveningperformance is not a named entity
2. Eveningperformance 16-1 ( Chris Rutter ),2. is not a named entity
3. Hever Golf Rose 11-4 ( Jason Weaver ),Hever Golf Rose is a person entity
3. Hever Golf Rose 11-4 ( Jason Weaver ),Jason Weaver is a person entity
3. Hever Golf Rose 11-4 ( Jason Weaver ),) is not a named entity
3. Hever Golf Rose 11-4 ( Jason Weaver ),Golf Rose is not a named entity
3. Hever Golf Rose 11-4 ( Jason Weaver ),Golf Rose 11-4 is not a named entity
Favourite : Mind Games ( 7-4 ) finished 4th,Mind Games is a person entity
Favourite : Mind Games ( 7-4 ) finished 4th,7-4 ) is not a named entity
Winner owned by the Cheveley Park Stud and trained by Sir,Cheveley Park Stud is an organization entity
Winner owned by the Cheveley Park Stud and trained by Sir,Winner owned by is not a named entity
Mark Prescott at Newmarket .,Mark Prescott is a person entity
Mark Prescott at Newmarket .,Newmarket is a location entity
Mark Prescott at Newmarket .,at Newmarket is not a named entity
TENNIS - RESULTS AT TOSHIBA CLASSIC .,TOSHIBA CLASSIC is an other entity
TENNIS - RESULTS AT TOSHIBA CLASSIC .,- RESULTS is not a named entity
"CARLSBAD , California 1996-08-21",CARLSBAD is a location entity
"CARLSBAD , California 1996-08-21",California is a location entity
"CARLSBAD , California 1996-08-21",", is not a named entity"
"CARLSBAD , California 1996-08-21",", is not a named entity"
"$ 450,000 Toshiba Classic tennis tournament on Wednesday",Toshiba Classic is an other entity
"$ 450,000 Toshiba Classic tennis tournament on Wednesday",Wednesday is not a named entity
1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),Arantxa Sanchez Vicario is a person entity
1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),Spain is a location entity
1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),Naoko Kijimuta is a person entity
1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),Japan is a location entity
1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),) beat Naoko is not a named entity
1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),1 is not a named entity
1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),( is not a named entity
4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5,Kimiko Date is a person entity
4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5,Japan is a location entity
4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5,Yone Kamio is a person entity
4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5,beat is not a named entity
4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5,( Japan is not a named entity
4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5,7-5 is not a named entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,Sandrine Testud is a person entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,France is a location entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,Ai Sugiyama is a person entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,Japan is a location entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,( France is not a named entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,6-3 is not a named entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,beat is not a named entity
Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,Sugiyama ( is not a named entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,Nathalie Tauziat is a person entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,France is a location entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,Shi-Ting Wang is a person entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,Taiwan is a location entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,) 6-4 is not a named entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,) is not a named entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,) 6-4 is not a named entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,6-4 is not a named entity
8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,Tauziat ( is not a named entity
TENNIS - RESULTS AT HAMLET CUP .,HAMLET CUP is an other entity
TENNIS - RESULTS AT HAMLET CUP .,AT HAMLET is not a named entity
"COMMACK , New York 1996-08-21",COMMACK is a location entity
"COMMACK , New York 1996-08-21",New York is a location entity
Waldbaum Hamlet Cup tennis tournament on Wednesday ( prefix,Waldbaum Hamlet Cup is an other entity
Waldbaum Hamlet Cup tennis tournament on Wednesday ( prefix,( prefix is not a named entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,Michael Chang is a person entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,U.S. is a location entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,Sergi Bruguera is a person entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,Spain is a location entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,Bruguera ( is not a named entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,( is not a named entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,6-3 6-2 is not a named entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,1 is not a named entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,Bruguera is not a named entity
1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,Chang ( is not a named entity
Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,Michael Joyce is a person entity
